S_Name	S_1	S_10	S_11	S_12	S_13	S_14	S_15	S_16	S_17	S_18	S_19	S_2	S_20	S_21	S_22	S_23	S_24	S_25	S_26	S_27	S_28	S_29	S_30	S_31	S_32	S_33	S_34	S_35	S_36	S_37	S_38	S_39	S_4	S_40	S_41	S_42	S_43	S_44	S_45	S_46	S_47	S_48	S_49	S_5	S_50	S_51	S_52	S_53	S_54	S_55	S_56	S_57	S_58	S_59	S_60	S_61	S_62	S_63	S_64	S_65	S_66	S_67	S_68	S_69	S_7	S_70	S_71	S_72	S_8
ASV7870	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	25	18	40	30	23	24	25	0	0	0	0	0	0	0	0	0	0	0	0	0	49	0	0	48	0	0	0	0	0	0	0	0	0	0	0	0	36	50	43	49	46	74	0	52	45	72	0
ASV7873	0	0	0	0	40	0	21	31	0	0	0	0	23	0	0	34	24	32	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	33	0	0	0	0	0	0	0	0	17	43	0	0	52	22	21	28	0	39	0	0	0	0	0	0	0	0	0	0	0
ASV7883	21	0	0	0	0	38	0	0	0	38	28	31	13	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	20	0	21	0	0	16	17	26	0	0	26	42	0	0	0	0	0	38	0	0	0	0	0	0	0	0	0	0	0	0	0	24
ASV7887	0	0	5	0	0	0	0	7	0	0	0	0	17	0	0	12	0	11	0	9	0	0	9	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	5	7	0	0	21	0	0	8	0	9	0	0	0	7	0	9	0	0	0	5	0
ASV7914	28	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	45	0	26	23	0	0	45	34	0	4	25	0	0	36	0	11	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	0	0	0	0
ASV7925	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	6	0	0	6	0	0	16	0	10	30	34	12	0	0	0	0	0	0	0	0	0	0	0	18	0	7	0	0	0	13	0	24	0	0	19	0	0	0	0	0	12	11	0	0
ASV7932	0	0	0	0	0	0	0	26	0	0	0	0	0	0	19	0	40	0	0	28	0	0	39	21	0	25	19	26	26	65	0	0	0	0	47	97	0	29	0	0	0	0	0	0	69	0	38	0	0	0	0	0	0	44	0	0	0	0	49	0	0	41	0	45	0	30	32	39	26
ASV7934	36	0	0	0	0	26	0	0	0	0	22	21	0	28	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	25	36	0	19	0	0	0	0	0	0	0	22	0	0	24	0	0	0	0	28	0	22	28	0	22	0	19	15	0	0	0	0	0	0	0	0	0	0	0	40
ASV795	0	0	0	0	23	17	0	18	5	14	10	0	15	0	0	0	0	25	0	0	9	14	0	0	15	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	6	20	0	0	14	0	11	0	25	0	0	0	0	0	24	27	16	25	23	21	0	26	12	16	0
ASV7962	0	16	14	21	16	21	34	21	19	0	15	0	21	15	8	19	16	15	13	18	18	10	31	0	0	14	11	18	16	65	48	36	0	33	46	30	20	17	32	68	53	28	26	0	31	23	15	82	28	29	39	49	13	12	23	35	23	27	33	30	25	6	10	9	0	17	17	15	0
ASV7968	8	0	0	0	13	5	15	20	0	0	49	6	35	14	28	32	40	37	27	53	42	39	35	0	28	33	25	0	18	0	21	0	0	0	0	0	0	0	0	23	0	28	0	0	0	25	25	34	20	46	27	46	65	35	41	67	50	41	0	66	56	0	22	0	12	0	49	0	0
ASV7981	0	15	22	22	17	6	10	17	17	11	27	14	19	19	10	12	19	12	14	17	0	10	29	17	9	0	8	5	10	0	0	0	11	10	0	0	0	0	0	29	17	23	13	0	0	21	13	28	10	0	16	21	11	8	11	13	10	11	6	11	18	0	0	17	0	0	0	11	0
ASV8011	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	15	0	0	0	61	51	89	52	45	44	38	47	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	37	32	19	52	43	41	14	38	21	36	0
ASV8014	0	21	28	22	26	18	34	31	18	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	0	0	27	0	0	15	13	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV8016	0	0	0	0	0	0	0	0	0	0	0	0	22	0	22	26	0	38	27	26	24	0	0	15	0	29	18	15	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	25	0	15	25	0	0	0	0	0	0	0	0	16	0	0
ASV8046	0	0	15	12	0	0	0	0	0	0	9	0	8	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	18	0	16	19	0	0	0	10	0	32	0	16	17	0	0	0	0	0	34	25	13	0	26	0	0	13	0	8	0	0	0	0	0	0	0	0	0	0	0
ASV8047	73	23	0	0	22	22	0	25	28	35	55	57	26	40	0	0	61	22	0	26	29	28	44	30	25	0	15	25	30	0	0	0	49	35	0	0	27	0	0	0	0	0	0	60	27	0	0	0	0	0	0	0	0	0	0	0	0	37	30	39	0	0	20	0	28	19	13	0	49
ASV8187	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	4	4	12	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	24	0	0	15	11	6	14	0	0	0	8	0	0	0	5	0	0	20	0	0
ASV8240	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	34	0	0	0	14	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	23	0	0	0	0	43	24	23	0	36	0	26	0	26	0	29	0	32	0	32	31	20	9	0	36	24	0	0	24	0
ASV8249	0	17	0	25	32	0	20	0	0	0	30	0	28	13	27	24	56	0	31	54	17	0	32	0	0	44	0	19	0	48	0	0	0	0	0	0	0	0	0	48	34	33	37	0	20	42	19	33	69	44	44	64	39	34	41	35	40	26	41	46	16	22	29	17	0	22	36	32	0
ASV8259	0	0	20	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	47	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38	0	0	0	68	59	0	0	0	32	0	0	0	0	0	0	40	41	18	0	43	0	0	22	30	39	0
ASV8274	0	13	10	13	22	16	7	0	0	0	7	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	59	20	19	38	0	45	18	13	28	29	26	0	15	0	16	0	17	0	24	0	0	0	0	0	0	0	0	0	0	0
ASV8276	0	0	0	58	38	59	41	33	44	31	0	0	0	30	28	0	42	0	0	0	0	33	29	0	0	0	0	0	39	60	60	74	0	0	0	35	0	0	0	75	77	49	64	0	86	61	53	82	71	40	60	53	0	50	40	41	35	57	0	0	18	0	35	49	0	0	33	47	0
ASV8280	0	65	0	44	0	53	42	0	38	0	66	40	0	45	36	57	0	39	0	64	0	0	0	0	0	0	0	0	0	163	94	73	61	32	58	75	57	43	70	85	102	0	35	24	102	61	71	46	83	0	0	0	0	56	0	0	50	0	0	0	0	0	0	0	66	0	0	0	71
ASV8282	0	0	0	0	0	0	0	41	0	0	0	0	0	0	0	0	0	0	0	0	59	0	54	68	0	52	45	0	59	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	59	86	0	46	37	0	0	41	54	0	83	77	87	0	46	64	0	0
ASV8289	0	0	13	12	14	6	16	11	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	30	20	27	12	0	12	25	24	29	21	18	24	17	18	14	11	0	21	14	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	7
ASV829	19	24	14	0	0	25	0	11	0	17	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	25	13	38	38	40	45	17	23	30	0	0	0	26	20	31	16	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	9
ASV830	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	12	26	14	0	17	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	19	0	0	0	0	0	0	0	0	21	12	0	21	31	14	0	21	30	17	0
ASV8326	83	0	0	0	12	15	22	0	0	0	0	41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	81	75	64	97	81	49	68	57	36	38	0	11	0	13	129	26	0	0	31	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	85	0	0	0	40
ASV8329	24	46	0	0	32	55	63	36	42	43	44	36	43	73	54	62	34	39	24	48	0	54	96	50	52	53	0	51	35	58	42	36	49	37	32	24	46	69	77	77	56	52	80	29	35	36	71	80	68	77	43	68	58	37	52	49	34	0	68	108	0	72	63	66	67	53	57	39	42
ASV8341	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	24	24	16	0	0	0	0	0	0	0	0	0	0	0	22	9	21	35	19	0	0	0	0	0	0	0	0	0	0	0	0	25	44	0	0	0	0	12	0	24	0	0	18	30	0	0	0	0	0	0	0	0	0
ASV838	0	0	27	0	0	0	0	0	0	0	11	0	25	0	0	0	24	26	29	45	26	19	0	0	15	13	0	9	0	59	34	0	0	16	18	0	0	21	18	37	0	42	85	0	32	70	42	0	39	0	0	46	71	47	40	29	22	18	36	0	26	0	29	47	0	45	32	23	0
ASV843	10	30	32	30	28	33	0	38	36	22	38	0	0	28	19	22	30	35	18	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	22	0	32	0	20	37	30	16	37	0	0	0	0	34	0	43	14	17	0	24	0	0	0	0	0	0	0	0	18
ASV8454	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	21	0	14	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	16	27	0	13	0	9	16	11	21	31	30	31	15	9	14	0	9	0	13	0
ASV8465	13	0	0	0	0	41	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	21	22	38	0	17	0	0	18	18	0	0	0	0	9	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	34
ASV848	0	27	33	0	48	30	0	20	0	28	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	54	40	58	0	31	34	24	0	63	26	35	0	0	29	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV854	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	33	14	0	23	7	14	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	16	0	0	26	25	30	0	18	0	9	0
